marca,modelo,precio_crc,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado,cluster_id_hc,cluster
Toyota,HILUX,10500000,2800.0,Pick Up 4WD,5.0,Diesel,Manual,Muy Bueno,203600.0,VERDE,GRIS,4,Cartago,25.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER PRADO VX,10775000,3000.0,SUV 4WD/AWD,7.0,Diesel,Automática/Dual,Excelente,231000.0,CHAMPAGNE,BEIGE,5,Heredia,22.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER PRADO,10850000,3000.0,SUV 4WD/AWD,7.0,Diesel,Automática/Dual,Excelente,180000.0,GRIS PLATA,GRIS,4,San José,21.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,1.0,Familiares_potentes
Nissan,FRONTIER,10935000,3000.0,Pick Up 4WD,5.0,Diesel,Manual,Excelente,135000.0,NEGRO,GRIS,4,San José,21.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,0.0,Premium
Ford,F250 SUPER DUTY,11000000,7300.0,Pick Up 4WD,5.0,Diesel,Manual,Excelente,250000.0,BEIGE,BEIGE,4,Alajuela,25.0,FORD,USA,GENERALISTA,0.0259627866724361,0.0,Premium
Ford,F250,11000000,6000.0,Pick Up 4WD,6.0,Diesel,Automática/Dual,Excelente,177027.0,BLANCO,GRIS,4,Puntarenas,22.0,FORD,USA,GENERALISTA,0.0259627866724361,0.0,Premium
Dodge/RAM,RAM 2500,12000000,5900.0,Pick Up 4WD,6.0,Diesel,Automática/Dual,Excelente,279260.0,BEIGE,GIRS,4,San José,23.0,DODGE,USA,DESCONOCIDO,0.0077022933794893,0.0,Premium
Isuzu,FRR,12500000,7800.0,Camión 4.0-4.5 ton.,3.0,Diesel,Automática/Dual,Excelente,161820.0,BLANCO,GRIS,2,Alajuela,25.0,ISUZU,DESCONOCIDO,COMERCIAL,0.0135871916919082,0.0,Premium
Toyota,LAND CRUISER VX,12922000,4200.0,SUV 4WD/AWD,8.0,Diesel,Automática/Dual,Excelente,216000.0,NEGRO,BEIGE,4,Heredia,25.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Porsche,BOXSTER 986,13000000,2700.0,Sedán,2.0,Gasolina,Manual,Bueno,77500.0,AMARILLO,NEGRO,2,San José,23.0,PORSCHE,ALEMANIA,PREMIUM,0.0043271311120726,0.0,Premium
Toyota,HILUX,13000000,2800.0,Pick Up 4WD,4.0,Diesel,Manual,Excelente,318000.0,BLANCO,GRIS NEGRO,2,Cartago,22.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,0.0,Premium
Ford,F250 XL SUPER DUTY,14500000,6000.0,Pick Up 4WD,6.0,Diesel,Automática/Dual,Excelente,415210.0,PLATA BRILLANTE,GRIS,4,Alajuela,23.0,FORD,USA,GENERALISTA,0.0259627866724361,0.0,Premium
Freightliner,M2 106,15000000,6400.0,Camión 5.0-7.5 ton.,3.0,Diesel,Manual,Bueno,600000.0,BLANCO,NEGRO,2,San José,23.0,FREIGHTLINER,DESCONOCIDO,DESCONOCIDO,0.0004327131112072,0.0,Premium
Toyota,LAND CRUISER HARDTOP,15300000,4200.0,SUV 4WD/AWD,10.0,Diesel,Manual,Excelente,220000.0,BLANCO,GRIS,3,Alajuela,22.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,1.0,Familiares_potentes
Maserati,4200 CAMBIOCORSA,15000000,4200.0,Sedán,4.0,Gasolina,Automática/Dual,Excelente,48280.0,ROJO,BEIGE,2,San José,22.0,MASERATI,DESCONOCIDO,DESCONOCIDO,0.0008654262224145,0.0,Premium
Renault,CLIO,15000000,1200.0,Sedán,5.0,Gasolina,Manual,Excelente,180000.0,ROJO,NEGRO,4,Alajuela,23.0,RENAULT,FRANCIA,DESCONOCIDO,0.0085677196019039,0.0,Premium
Toyota,LAND CRUISER,15500000,4200.0,Pick Up 4WD,3.0,Diesel,Manual,Excelente,270000.0,BLANCO,GRIS,2,Alajuela,23.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,0.0,Premium
Toyota,LAND CRUISER,15650000,4200.0,SUV 4WD/AWD,7.0,Diesel,Manual,Excelente,294000.0,ARENA,GRIS,3,Cartago,22.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER VX,16400000,4200.0,SUV 4WD/AWD,8.0,Diesel,Automática/Dual,Excelente,187000.0,GRIS,GRIS,5,Heredia,21.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER VX,16500000,4200.0,SUV 4WD/AWD,8.0,Diesel,Automática/Dual,Excelente,339000.0,VERDE,CAFE,4,Heredia,23.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER 100 TDI,16500000,4200.0,SUV 4WD/AWD,8.0,Diesel,Automática/Dual,Excelente,339000.0,VERDE,BEIGE,5,San José,23.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Mercedes,Benz G500,19000000,5000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,186000.0,AZUL,NEGRO,5,Alajuela,24.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,2.0,Muy_usados_kilometreados
Mercedes,Benz G270 CDI,21371000,2700.0,SUV 4WD/AWD,7.0,Diesel,Automática/Dual,Excelente,202000.0,GRIS PLATA,NEGRO,5,San José,21.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,2.0,Muy_usados_kilometreados
Mazda,6,2000000,2300.0,Sedán,5.0,Gasolina,Automática/Dual,Bueno,170000.0,GRIS,NEGRO,4,Alajuela,18.0,MAZDA,JAPON,GENERALISTA,0.0108178277801817,2.0,Muy_usados_kilometreados
Chevrolet,SPARK,2100000,1000.0,Hatchback,5.0,Gasolina,Manual,Muy Bueno,980000.0,AMARILLO,GRIS,5,San José,18.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Renault,CLIO,650000,1500.0,Sedán,5.0,Gasolina,Manual,Regular,110000.0,AZUL,GRIS OSCURO,5,San José,17.0,RENAULT,FRANCIA,DESCONOCIDO,0.0085677196019039,0.0,Premium
Renault,MEGANE,1200000,1998.0,Sedán,5.0,Gasolina,Automática/Dual,Regular,80000.0,PLATEADO,NEGRO,5,Alajuela,18.0,RENAULT,FRANCIA,DESCONOCIDO,0.0085677196019039,0.0,Premium
Citroen,BERLINGO,1250000,1900.0,Pánel,2.0,Diesel,Manual,Muy Bueno,1.0,BLANCO,NEGRO,3,San José,18.0,CITROEN,FRANCIA,DESCONOCIDO,0.0043271311120726,0.0,Premium
Chevrolet,AVEO,1500000,1200.0,Hatchback,5.0,Gasolina,Manual,Excelente,211000.0,NEGRO,GRIS,4,Heredia,18.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Geely,CK,1650000,1300.0,Sedán,5.0,Gasolina,Manual,Excelente,137000.0,GRIS,NEGRO,4,Cartago,17.0,GEELY,CHINA,DESCONOCIDO,0.0097793163132842,0.0,Premium
Chevrolet,AVEO,1800000,1200.0,Hatchback,5.0,Gasolina,Manual,Muy Bueno,200456.0,NARANAJA OSCURO,GRIS/NEGRO,4,Alajuela,18.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Peugeot,307,1950000,2000.0,Sedán,5.0,Diesel,Manual,Bueno,245000.0,NEGRO,NEGRO,4,Heredia,18.0,PEUGEOT,FRANCIA,DESCONOCIDO,0.0051925573344872,0.0,Premium
Kia,CERATO,2000000,1600.0,Sedán,5.0,Gasolina,Manual,Excelente,195400.0,GRIS,GRIS,4,San José,18.0,KIA,COREA,GENERALISTA,0.0618779749026395,2.0,Muy_usados_kilometreados
Hyundai,VERACRUZ,2000000,3000.0,SUV 4WD/AWD,7.0,Diesel,Automática/Dual,Muy Bueno,195000.0,CHAMPAGNE,NEGRO,4,Heredia,18.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,1.0,Familiares_potentes
Suzuki,ALTO,2100000,800.0,Hatchback,5.0,Gasolina,Manual,Bueno,257963.0,BEIGE,GRIS,4,Heredia,17.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Hyundai,ATOS,2100000,1100.0,Hatchback,4.0,Gasolina,Manual,Excelente,275000.0,PLATA,GRIS,5,San José,18.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0,Muy_usados_kilometreados
Suzuki,ALTO,2150000,800.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,179642.0,GRIS,GRIS,5,Cartago,18.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Nissan,ALMERA,2200000,1600.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,158000.0,CHAMPAGNE,NEGRO,5,San José,18.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
