marca,modelo,precio_crc,precio_usd,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,impuestos_pagados,precio_negociable,recibe_vehiculo,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado
Chevrolet,COLORADO,7650000,15392,3700,Pick Up 4WD,5,Gasolina,Automática/Dual,Excelente,1518230,BLANCO,NEGRO,4,SI,NO,NO,San José,16,CHEVROLET,USA,GENERALISTA,0.0449156209433146
Toyota,RAV4,7700000,15493,2400,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Muy Bueno,169464,AZUL OSCURO,BEIGE,5,SI,SI,SI,Alajuela,16,TOYOTA,JAPON,GENERALISTA,0.16486369536997
Honda,CRV EXL,7975000,16046,2400,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,141120,NEGRO,NEGRO-BEIGE,4,SI,SI,SI,Guanacaste,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Ford,EVEREST,8000000,16097,2500,SUV 4WD/AWD,7,Diesel,Manual,Muy Bueno,202000,GRIS,GRIS,5,SI,SI,NO,San José,16,FORD,USA,GENERALISTA,0.0259627866724362
Mitsubishi,L200,9000000,18109,2500,Pick Up 4WD,5,Diesel,Manual,Muy Bueno,254000,NEGRE,NEGRO,5,SI,SI,NO,Heredia,16,MITSUBISHI,JAPON,DESCONOCIDO,0.0512332323669407
Hyundai,GRAND STAREX,8000000,16097,2500,Microbús/Minivan,10,Diesel,Automática/Dual,Excelente,156000,GRIS,GRIS,4,SI,SI,NO,San José,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Land,Rover DISCOVERY,8000000,16097,3000,SUV 4WD/AWD,7,Diesel,Automática/Dual,Excelente,240000,GRIS PLATA,NEGRO,5,SI,SI,SI,Cartago,16,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929
Nissan,XTERRA OFF ROAD,8500000,17103,4000,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,156,NEGRO,GRIS,4,SI,SI,SI,San José,16,NISSAN,JAPON,GENERALISTA,0.0888792730419732
Hyundai,GRAN STAREX H-1,8500000,17103,2500,Microbús/Minivan,10,Diesel,Automática/Dual,Excelente,81803,GRIS,GRIS,3,SI,SI,NO,Alajuela,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Land,Rover DISCOVERY 4 HSE,8697500,17500,3000,SUV 4WD/AWD,7,Diesel,Automática/Dual,Excelente,172500,GRIS,NEGRO,5,SI,SI,SI,San José,16,LAND ROVER,DESCONOCIDO,PREMIUM,0.0198182604932929
Mitsubishi,MONTERO,8850000,17807,2800,SUV 4WD/AWD,5,Diesel,Automática/Dual,Muy Bueno,309000,AZUL,GRIS,5,SI,SI,NO,Alajuela,16,MITSUBISHI,JAPON,DESCONOCIDO,0.0512332323669407
Nissan,FRONTIER,9000000,18109,2500,Pick Up 4WD,5,Diesel,Manual,Muy Bueno,201000,BLANCO,GRIS,4,SI,SI,SI,Limón,16,NISSAN,JAPON,GENERALISTA,0.0888792730419732
Nissan,NAVARA,9000000,18109,2500,Pick Up 4WD,5,Diesel,Automática/Dual,Excelente,140000,NEGRO,GRIS,4,SI,SI,SI,San José,16,NISSAN,JAPON,GENERALISTA,0.0888792730419732
Ford,RANGER XLT,9000000,18109,3000,Pick Up 4WD,5,Diesel,Automática/Dual,Excelente,278,BLANCO,GRIS,4,SI,SI,NO,Alajuela,16,FORD,USA,GENERALISTA,0.0259627866724362
Chevrolet,AVALANCHE LT,9500000,19115,5300,Pick Up 4WD,5,Gasolina,Automática/Dual,Muy Bueno,163200,GRIS,BEIGE / CUERO,4,SI,SI,SI,San José,16,CHEVROLET,USA,GENERALISTA,0.0449156209433146
Ford,MUSTANG,9500000,19115,4000,Hatchback,4,Gasolina,Automática/Dual,Muy Bueno,147536,BLANCO,NEGRO,2,SI,NO,NO,San José,16,FORD,USA,GENERALISTA,0.0259627866724362
Chevrolet,CAMARO,9500000,19115,3600,Sedán,4,Gasolina,Automática/Dual,Excelente,219000,ROJO,NEGRO,2,SI,NO,NO,San José,16,CHEVROLET,USA,GENERALISTA,0.0449156209433146
BMW,335,9940000,20000,3000,Sedán,5,Gasolina,Automática/Dual,Excelente,151000,AZUL,BEIGE,2,SI,NO,NO,Heredia,16,BMW,ALEMANIA,PREMIUM,0.0410212029424492
